address                 地址列表
auction                 拍卖列表
auctioning              拍卖
auctioning1             拍卖1
auctioning2             拍卖2
auction-over            竞拍结束
balance                 余额
email                   修改绑定邮箱--验证身份
email2                  修改绑定邮箱--修改邮箱
email3                  修改绑定邮箱--完成
favourite               我喜欢
forget-password         密码修改成功
index                   首页
information             个人信息
mobile-verification     修改绑定手机--验证方式
modify-number           修改绑定手机--修改号码
modify-success          修改绑定手机--完成
my-auction              我的竞拍
my-points               我的积分
offer-all               叫价--积分
offer-all1              叫价--星辉币
offer-fail              叫价--失败
offer-success           叫价--成功
onload                  登录
order                   我的订单
order-confirm           确认订单
payment-order           支付订单
payment-success         支付成功
problem-verification    修改绑定手机--问题验证--验证方式
product                 产品详情
register                注册
search                  搜索页面
shopping                购物车
